ensemblid	counts
ENSMUSG00000002280	55
ENSMUSG00000002289	221
ENSMUSG00000002290	12
ENSMUSG00000002297	13
ENSMUSG00000002307	71
ENSMUSG00000002308	105
ENSMUSG00000002319	150
ENSMUSG00000002320	61
ENSMUSG00000002324	1
ENSMUSG00000002325	92
ENSMUSG00000002326	52
ENSMUSG00000002329	62
ENSMUSG00000002332	377
ENSMUSG00000002341	14
ENSMUSG00000002342	185
ENSMUSG00000002343	3
ENSMUSG00000002345	94
ENSMUSG00000002346	1096
ENSMUSG00000002365	357
ENSMUSG00000002372	30
ENSMUSG00000002379	549
ENSMUSG00000002384	5
ENSMUSG00000002393	21
ENSMUSG00000002395	37
ENSMUSG00000002396	59
ENSMUSG00000002409	79
ENSMUSG00000002413	1054
ENSMUSG00000002416	88
ENSMUSG00000002428	275
ENSMUSG00000002455	78
ENSMUSG00000002458	22
ENSMUSG00000002459	5
ENSMUSG00000002475	457
ENSMUSG00000002477	80
ENSMUSG00000002486	30
ENSMUSG00000002489	55
ENSMUSG00000002496	633
ENSMUSG00000002500	0
ENSMUSG00000002504	224
ENSMUSG00000002524	85
ENSMUSG00000002546	334
ENSMUSG00000002550	90
ENSMUSG00000002565	222
ENSMUSG00000002578	10
ENSMUSG00000002580	73
ENSMUSG00000002588	0
ENSMUSG00000002602	169
ENSMUSG00000002603	14
ENSMUSG00000002608	111
ENSMUSG00000002617	139
ENSMUSG00000002625	80
ENSMUSG00000002633	0
ENSMUSG00000002635	21
ENSMUSG00000002658	37
ENSMUSG00000002660	66
ENSMUSG00000002661	66
ENSMUSG00000002664	1
ENSMUSG00000002668	18
ENSMUSG00000002679	42
ENSMUSG00000002688	105
ENSMUSG00000002699	9
ENSMUSG00000002718	497
ENSMUSG00000002728	129
ENSMUSG00000002731	55
ENSMUSG00000002732	25
ENSMUSG00000002733	202
ENSMUSG00000002741	108
ENSMUSG00000002748	504
ENSMUSG00000002763	69
ENSMUSG00000002767	66
ENSMUSG00000002768	86
ENSMUSG00000002769	38
ENSMUSG00000002771	5
ENSMUSG00000002778	472
ENSMUSG00000002781	43
ENSMUSG00000002791	8
ENSMUSG00000002797	110
ENSMUSG00000002799	3
ENSMUSG00000002803	78
ENSMUSG00000002804	11
ENSMUSG00000002808	38
ENSMUSG00000002812	175
ENSMUSG00000002814	14
ENSMUSG00000002820	30
ENSMUSG00000002825	10
ENSMUSG00000002831	20
ENSMUSG00000002833	15
ENSMUSG00000002835	0
ENSMUSG00000002844	20
ENSMUSG00000002845	109
ENSMUSG00000002846	63
ENSMUSG00000002847	55
ENSMUSG00000002870	31
ENSMUSG00000002871	98
ENSMUSG00000002881	248
ENSMUSG00000002885	44
ENSMUSG00000002897	121
ENSMUSG00000002900	584
ENSMUSG00000002908	12
ENSMUSG00000002910	8
ENSMUSG00000002930	0
ENSMUSG00000002944	3391
ENSMUSG00000002948	205
ENSMUSG00000002949	129
ENSMUSG00000002957	597
ENSMUSG00000002963	34
ENSMUSG00000002968	84
ENSMUSG00000002980	103
ENSMUSG00000002981	731
ENSMUSG00000002983	17
ENSMUSG00000002984	63
ENSMUSG00000002985	75
ENSMUSG00000002992	0
ENSMUSG00000002996	796
ENSMUSG00000002997	29
ENSMUSG00000003031	473
ENSMUSG00000003032	16
ENSMUSG00000003033	84
ENSMUSG00000003037	267
ENSMUSG00000003038	51
ENSMUSG00000003039	125
ENSMUSG00000003051	5
ENSMUSG00000003053	17
ENSMUSG00000003062	82
ENSMUSG00000003068	46
ENSMUSG00000003070	1
ENSMUSG00000003072	1179
ENSMUSG00000003099	186
ENSMUSG00000003119	570
ENSMUSG00000003123	60
ENSMUSG00000003131	439
ENSMUSG00000003134	12
ENSMUSG00000003135	273
ENSMUSG00000003153	27
ENSMUSG00000003154	118
ENSMUSG00000003161	371
ENSMUSG00000003166	97
ENSMUSG00000003178	83
ENSMUSG00000003184	84
ENSMUSG00000003190	4
ENSMUSG00000003198	137
ENSMUSG00000003199	20
ENSMUSG00000003200	71
ENSMUSG00000003206	0
ENSMUSG00000003208	5
ENSMUSG00000003226	1311
ENSMUSG00000003227	5
ENSMUSG00000003228	127
ENSMUSG00000003233	137
ENSMUSG00000003234	61
ENSMUSG00000003235	65
ENSMUSG00000003269	46
ENSMUSG00000003271	4
ENSMUSG00000003273	5
ENSMUSG00000003279	91
ENSMUSG00000003282	45
ENSMUSG00000003283	0
ENSMUSG00000003299	226
ENSMUSG00000003308	26
ENSMUSG00000003309	12
ENSMUSG00000003316	1444
ENSMUSG00000003341	0
ENSMUSG00000003344	129
ENSMUSG00000003345	66
ENSMUSG00000003346	55
ENSMUSG00000003348	3
ENSMUSG00000003352	11
ENSMUSG00000003354	9
ENSMUSG00000003355	10
ENSMUSG00000003360	57
ENSMUSG00000003363	172
ENSMUSG00000003378	23
ENSMUSG00000003379	1
ENSMUSG00000003380	92
ENSMUSG00000003382	83
ENSMUSG00000003402	143
ENSMUSG00000003410	37
ENSMUSG00000003411	12
ENSMUSG00000003418	575
ENSMUSG00000003420	208
ENSMUSG00000003421	15
ENSMUSG00000003423	36
ENSMUSG00000003429	353
ENSMUSG00000003435	277
ENSMUSG00000003436	3
ENSMUSG00000003437	94
ENSMUSG00000003438	98
ENSMUSG00000003444	47
ENSMUSG00000003452	372
ENSMUSG00000003458	382
ENSMUSG00000003464	445
ENSMUSG00000003469	27
ENSMUSG00000003476	0
ENSMUSG00000003477	1329
ENSMUSG00000003484	0
ENSMUSG00000003500	6
ENSMUSG00000003505	0
ENSMUSG00000003518	209
ENSMUSG00000003526	562
ENSMUSG00000003527	23
ENSMUSG00000003528	201
ENSMUSG00000003531	115
ENSMUSG00000003534	162
ENSMUSG00000003541	14
ENSMUSG00000003545	12
ENSMUSG00000003546	140
ENSMUSG00000003549	14
ENSMUSG00000003555	0
ENSMUSG00000003559	157
ENSMUSG00000003573	0
ENSMUSG00000003575	51
ENSMUSG00000003581	27
ENSMUSG00000003585	2
ENSMUSG00000003604	33
ENSMUSG00000003617	313
ENSMUSG00000003623	3813
ENSMUSG00000003644	68
ENSMUSG00000003657	17
ENSMUSG00000003660	414
ENSMUSG00000003662	204
ENSMUSG00000003665	1
ENSMUSG00000003680	3
ENSMUSG00000003721	169
ENSMUSG00000003731	438
ENSMUSG00000003746	1622
ENSMUSG00000003752	6
ENSMUSG00000003762	42
ENSMUSG00000003778	228
ENSMUSG00000003779	17
ENSMUSG00000003808	78
ENSMUSG00000003809	839
ENSMUSG00000003810	456
ENSMUSG00000003812	18
ENSMUSG00000003813	201
ENSMUSG00000003814	1671
ENSMUSG00000003824	12
ENSMUSG00000003847	2199
ENSMUSG00000003848	66
ENSMUSG00000003849	171
ENSMUSG00000003863	2
ENSMUSG00000003865	89
ENSMUSG00000003868	60
ENSMUSG00000003872	1
ENSMUSG00000003873	113
ENSMUSG00000003882	1
ENSMUSG00000003923	77
ENSMUSG00000003929	322
ENSMUSG00000003934	8
ENSMUSG00000003948	81
ENSMUSG00000003949	966
ENSMUSG00000003955	130
ENSMUSG00000003970	248
ENSMUSG00000003974	1
ENSMUSG00000003992	565
ENSMUSG00000004018	61
ENSMUSG00000004031	4
ENSMUSG00000004032	362
ENSMUSG00000004035	12
ENSMUSG00000004038	0
ENSMUSG00000004040	321
ENSMUSG00000004043	21
ENSMUSG00000004044	83
ENSMUSG00000004054	84
ENSMUSG00000004056	163
ENSMUSG00000004069	431
ENSMUSG00000004070	54
ENSMUSG00000004071	264
ENSMUSG00000004085	187
ENSMUSG00000004096	221
ENSMUSG00000004098	4
ENSMUSG00000004099	48
ENSMUSG00000004100	8
ENSMUSG00000004105	91
ENSMUSG00000004110	14
ENSMUSG00000004113	13
ENSMUSG00000004127	94
ENSMUSG00000004151	461
ENSMUSG00000004187	33
ENSMUSG00000004207	2111
ENSMUSG00000004221	193
ENSMUSG00000004231	78
ENSMUSG00000004233	145
ENSMUSG00000004263	312
ENSMUSG00000004264	243
ENSMUSG00000004266	18
ENSMUSG00000004267	48
ENSMUSG00000004268	69
ENSMUSG00000004270	538
ENSMUSG00000004285	201
ENSMUSG00000004296	0
ENSMUSG00000004317	1340
ENSMUSG00000004319	1306
ENSMUSG00000004328	26
ENSMUSG00000004341	366
ENSMUSG00000004344	0
ENSMUSG00000004347	9
ENSMUSG00000004356	496
ENSMUSG00000004359	52
ENSMUSG00000004360	26
ENSMUSG00000004364	1274
ENSMUSG00000004366	2
ENSMUSG00000004371	6
ENSMUSG00000004383	216
ENSMUSG00000004393	59
ENSMUSG00000004394	297
ENSMUSG00000004415	16
ENSMUSG00000004446	198
ENSMUSG00000004451	173
ENSMUSG00000004455	317
ENSMUSG00000004460	292
ENSMUSG00000004462	61
ENSMUSG00000004473	5
ENSMUSG00000004500	45
ENSMUSG00000004508	149
ENSMUSG00000004530	201
ENSMUSG00000004535	1522
ENSMUSG00000004540	0
ENSMUSG00000004542	0
ENSMUSG00000004552	7
ENSMUSG00000004558	280
ENSMUSG00000004561	94
ENSMUSG00000004562	42
ENSMUSG00000004565	171
ENSMUSG00000004567	114
ENSMUSG00000004568	129
ENSMUSG00000004591	783
ENSMUSG00000004609	5
ENSMUSG00000004610	807
ENSMUSG00000004612	9
ENSMUSG00000004613	0
ENSMUSG00000004626	269
ENSMUSG00000004630	1
ENSMUSG00000004631	29
ENSMUSG00000004633	86
ENSMUSG00000004637	51
ENSMUSG00000004642	143
ENSMUSG00000004651	47
